Customer_ID,Age,Gender,Marital_Status,Education_Level,Employment_Type,Annual_Income,Region,Credit_Score,Existing_Loans_Count,Dependents,Account_Balance,Loan_ID,Loan_Purpose,Loan_Amount,Loan_Term_Months,Interest_Rate,Debt_to_Income_Ratio_%,Application_Date,Approval_Date,Loan_Status,Default_Risk_Flag
CUST32,38,Male,Married,Bachelor,Unemployed,90021,South,523,2,3,174684,LOAN32,Home Loan,1254817,12,6.37,1393.92,2019-08-31,2019-09-06,Default,1
CUST33,63,Female,Divorced,High School,Unemployed,16487,East,621,0,0,157524,LOAN33,Education Loan,1435275,12,12.2,8705.5,2021-05-11,2021-05-13,Default,1
CUST34,58,Male,Single,Bachelor,Business,146772,West,649,1,3,198271,LOAN34,Business Loan,569633,60,7.97,388.11,2021-04-04,2021-04-10,Default,1
CUST35,41,Female,Single,PhD,Unemployed,126047,East,502,3,4,264075,LOAN35,Personal Loan,1190617,36,5.06,944.58,2021-08-12,2021-08-26,Default,1
CUST36,51,Female,Divorced,Master,Business,160191,South,599,5,3,384970,LOAN36,Home Loan,543082,24,16.55,339.02,2020-01-14,2020-01-27,Default,1
CUST37,22,Male,Married,High School,Unemployed,194105,South,732,5,4,270403,LOAN37,Car Loan,131778,12,11.35,67.89,2022-09-09,2022-09-23,Default,1
CUST38,45,Male,Divorced,Bachelor,Business,100894,East,748,1,3,348052,LOAN38,Personal Loan,1368436,84,13.78,1356.31,2022-01-24,2022-01-28,Default,1
CUST39,30,Female,Single,Master,Unemployed,62160,North,847,0,3,474685,LOAN39,Education Loan,1012700,24,10.4,1629.18,2019-01-29,2019-02-11,Default,1
CUST40,51,Male,Divorced,Master,Business,15886,East,731,3,4,316957,LOAN40,Home Loan,64106,84,16.35,403.54,2020-11-21,2020-11-27,Default,1
CUST41,55,Female,Married,Master,Self-Employed,31367,West,451,4,0,467153,LOAN41,Personal Loan,359442,120,12.11,1145.92,2022-08-11,2022-08-17,Default,1
CUST42,22,Female,Married,PhD,Unemployed,123329,West,586,0,4,482267,LOAN42,Personal Loan,159616,12,14.61,129.42,2020-11-30,2020-12-15,Default,1
CUST43,62,Male,Married,Bachelor,Self-Employed,174533,South,823,1,1,317025,LOAN43,Car Loan,125241,12,12.5,71.76,2019-01-30,2019-02-02,Default,1
CUST44,65,Male,Married,Master,Unemployed,141012,North,799,1,0,235417,LOAN44,Business Loan,1359238,60,17.93,963.92,2023-02-07,2023-02-14,Default,1
CUST45,51,Female,Single,High School,Business,166368,East,796,5,3,270001,LOAN45,Car Loan,293726,120,15.01,176.55,2019-03-23,2019-03-28,Default,1
CUST46,53,Male,Single,Master,Business,68053,North,524,1,1,5730,LOAN46,Personal Loan,108174,36,13.88,158.96,2019-02-15,2019-02-16,Default,1
CUST47,40,Female,Divorced,Master,Self-Employed,45918,North,563,4,3,57799,LOAN47,Business Loan,333003,84,10.59,725.21,2021-07-09,2021-07-19,Default,1
CUST48,32,Female,Divorced,Bachelor,Unemployed,80484,Central,697,1,2,340166,LOAN48,Personal Loan,780740,12,12.94,970.06,2021-10-04,2021-10-06,Default,1
CUST49,24,Female,Divorced,Bachelor,Business,21818,South,793,0,1,344792,LOAN49,Home Loan,989817,36,16.63,4536.7,2020-06-11,2020-06-21,Default,1
CUST50,32,Female,Divorced,PhD,Unemployed,131401,North,310,1,2,271955,LOAN50,Personal Loan,278978,12,16.21,212.31,2019-04-28,2019-05-06,Default,1
CUST51,22,Female,Single,Bachelor,Business,167841,South,821,4,1,482818,LOAN51,Personal Loan,1080305,84,11.9,643.65,2022-10-04,2022-10-09,Default,1
CUST52,23,Male,Single,Bachelor,Business,36529,West,870,0,2,200909,LOAN52,Car Loan,216253,48,9.36,592.0,2019-07-30,2019-08-05,Default,1
CUST53,43,Male,Divorced,High School,Salaried,87728,West,397,2,3,406396,LOAN53,Car Loan,789336,120,9.82,899.75,2019-02-27,2019-03-04,Default,1
CUST54,38,Male,Divorced,Bachelor,Self-Employed,133640,West,350,2,4,9432,LOAN54,Home Loan,508106,48,12.72,380.21,2021-12-20,2021-12-29,Default,1
CUST55,39,Male,Married,Bachelor,Self-Employed,71709,North,693,2,4,433705,LOAN55,Home Loan,1089267,48,6.4,1519.01,2021-09-13,2021-09-24,Default,1
CUST56,52,Female,Married,Master,Unemployed,74385,South,556,4,0,85289,LOAN56,Education Loan,1217570,48,10.95,1636.85,2019-12-19,2019-12-25,Default,1
CUST57,57,Male,Divorced,Bachelor,Salaried,26258,South,790,3,1,191369,LOAN57,Education Loan,232568,12,14.81,885.7,2019-10-23,2019-11-03,Default,1
CUST58,33,Male,Single,Master,Business,167704,West,351,3,0,428858,LOAN58,Personal Loan,855924,60,14.04,510.38,2023-05-04,2023-05-18,Default,1
CUST59,37,Male,Divorced,PhD,Salaried,88157,Central,696,5,0,216220,LOAN59,Car Loan,576778,24,15.9,654.26,2020-12-05,2020-12-06,Default,1
CUST60,39,Female,Married,High School,Unemployed,96116,North,844,3,0,113378,LOAN60,Business Loan,1487081,120,8.7,1547.17,2021-09-24,2021-10-07,Default,1
CUST61,25,Male,Single,Bachelor,Business,122591,Central,451,0,1,122704,LOAN61,Home Loan,810627,120,11.72,661.25,2019-06-19,2019-06-20,Default,1
CUST62,28,Male,Married,High School,Unemployed,97681,North,842,2,1,234628,LOAN62,Education Loan,784700,36,12.63,803.33,2023-03-09,2023-03-14,Default,1
CUST63,41,Male,Divorced,High School,Unemployed,47919,South,597,4,1,37315,LOAN63,Personal Loan,915598,120,5.38,1910.72,2020-01-31,2020-02-04,Default,1
CUST64,31,Female,Married,Master,Business,79553,East,887,4,4,344371,LOAN64,Business Loan,1410022,120,6.96,1772.43,2021-06-19,2021-07-02,Default,1
CUST65,65,Male,Married,Bachelor,Business,101238,South,842,3,4,136468,LOAN65,Education Loan,724700,48,17.57,715.84,2019-09-22,2019-09-26,Default,1
CUST66,65,Female,Divorced,Master,Business,134471,South,666,3,4,409878,LOAN66,Education Loan,210731,120,7.92,156.71,2023-05-03,2023-05-16,Default,1
CUST67,23,Female,Married,Master,Business,55061,South,346,5,3,429103,LOAN67,Home Loan,406383,24,16.75,738.06,2022-04-05,2022-04-06,Default,1
CUST68,29,Male,Single,Bachelor,Salaried,122855,West,712,4,0,148573,LOAN68,Business Loan,620882,24,5.57,505.38,2018-06-02,2018-06-05,Default,1
CUST69,50,Female,Divorced,Master,Salaried,46086,East,763,1,0,495905,LOAN69,Home Loan,415560,24,14.49,901.71,2023-05-22,2023-05-31,Default,1
CUST70,60,Female,Married,High School,Self-Employed,24911,West,672,0,2,299927,LOAN70,Personal Loan,1035616,24,10.23,4157.26,2020-10-01,2020-10-13,Default,1
CUST71,33,Female,Married,Bachelor,Salaried,31830,Central,538,0,2,481666,LOAN71,Business Loan,1405797,48,13.43,4416.58,2021-12-16,2021-12-30,Default,1
CUST72,28,Female,Married,Bachelor,Salaried,123863,Central,870,0,3,95133,LOAN72,Business Loan,1225696,60,6.21,989.56,2021-07-25,2021-08-07,Default,1
CUST73,27,Male,Single,Bachelor,Business,162743,South,323,4,4,189530,LOAN73,Personal Loan,1005114,24,5.81,617.61,2021-12-27,2022-01-06,Default,1
CUST74,54,Female,Married,PhD,Self-Employed,84294,Central,368,3,4,459395,LOAN74,Education Loan,1227850,120,13.69,1456.63,2022-08-29,2022-09-02,Default,1
CUST75,33,Male,Divorced,PhD,Business,137050,East,397,4,1,97646,LOAN75,Education Loan,179741,24,17.57,131.15,2023-06-07,2023-06-13,Default,1
CUST76,23,Female,Divorced,Bachelor,Self-Employed,105733,South,762,3,4,402082,LOAN76,Personal Loan,1238011,36,17.06,1170.88,2021-04-04,2021-04-18,Default,1
CUST77,59,Male,Single,PhD,Unemployed,149201,West,500,0,2,385263,LOAN77,Personal Loan,414626,12,6.42,277.9,2019-08-09,2019-08-13,Default,1
CUST78,36,Female,Single,PhD,Self-Employed,141565,South,346,5,0,257247,LOAN78,Home Loan,1105124,48,8.23,780.65,2018-07-17,2018-07-30,Default,1
CUST79,61,Male,Divorced,PhD,Business,68349,Central,713,0,0,43347,LOAN79,Personal Loan,908231,48,13.63,1328.81,2021-11-02,2021-11-14,Default,1
CUST80,44,Female,Married,High School,Self-Employed,139252,West,693,3,2,162839,LOAN80,Business Loan,1076037,24,9.07,772.73,2021-11-06,2021-11-19,Default,1
CUST81,24,Male,Divorced,High School,Unemployed,167231,South,712,5,4,322489,LOAN81,Personal Loan,1326300,48,12.1,793.09,2022-09-20,2022-09-21,Default,1
CUST82,32,Female,Divorced,Master,Salaried,79655,West,709,1,1,446097,LOAN82,Personal Loan,1283162,24,8.56,1610.9,2019-02-01,2019-02-07,Default,1
CUST83,30,Female,Divorced,High School,Self-Employed,186488,South,387,5,3,355527,LOAN83,Education Loan,598213,60,8.03,320.78,2022-12-03,2022-12-18,Default,1
CUST84,25,Female,Single,Bachelor,Self-Employed,62557,East,855,1,1,163476,LOAN84,Home Loan,536890,48,17.39,858.24,2022-10-01,2022-10-12,Default,1
CUST85,39,Female,Divorced,Master,Salaried,183702,Central,331,3,0,264142,LOAN85,Education Loan,1194382,84,12.25,650.17,2019-11-07,2019-11-17,Default,1
CUST86,27,Female,Single,Bachelor,Business,108562,East,401,1,3,276715,LOAN86,Home Loan,154535,120,7.12,142.35,2022-09-25,2022-09-26,Default,1
CUST87,54,Male,Divorced,High School,Unemployed,162390,Central,662,4,3,363046,LOAN87,Personal Loan,309787,12,9.43,190.77,2022-08-01,2022-08-07,Default,1
CUST88,36,Female,Single,Bachelor,Salaried,156801,South,717,5,2,90851,LOAN88,Education Loan,424893,24,14.85,270.98,2021-09-03,2021-09-14,Default,1
CUST89,21,Male,Married,PhD,Business,152240,South,588,5,2,346534,LOAN89,Personal Loan,372453,84,12.03,244.65,2020-07-02,2020-07-06,Default,1
CUST90,62,Female,Married,Bachelor,Unemployed,188257,Central,404,0,0,99581,LOAN90,Business Loan,848117,12,14.75,450.51,2019-04-03,2019-04-06,Default,1
CUST91,35,Female,Divorced,High School,Salaried,33259,West,850,2,4,154030,LOAN91,Education Loan,281635,84,14.61,846.79,2018-12-10,2018-12-11,Default,1
CUST92,50,Female,Divorced,PhD,Self-Employed,105172,North,551,2,2,424045,LOAN92,Car Loan,541320,48,6.36,514.7,2018-11-23,2018-11-25,Default,1
CUST93,24,Female,Single,Bachelor,Self-Employed,102455,West,877,4,2,290970,LOAN93,Car Loan,770793,36,14.34,752.32,2018-12-18,2018-12-20,Default,1
CUST94,24,Female,Divorced,PhD,Business,43064,East,521,4,2,150109,LOAN94,Home Loan,1483487,24,10.57,3444.84,2018-04-08,2018-04-12,Default,1
CUST95,43,Female,Married,High School,Self-Employed,94386,West,584,1,0,188680,LOAN95,Education Loan,982174,60,12.31,1040.59,2023-01-26,2023-01-29,Default,1
CUST96,21,Female,Single,PhD,Unemployed,134511,Central,365,4,2,392438,LOAN96,Education Loan,350371,36,15.63,260.48,2018-04-15,2018-04-28,Default,1
CUST97,49,Male,Married,High School,Self-Employed,70325,West,594,1,0,310048,LOAN97,Home Loan,339201,60,8.62,482.33,2019-06-22,2019-06-24,Default,1
CUST98,30,Female,Divorced,PhD,Unemployed,29427,North,514,1,0,196533,LOAN98,Home Loan,441064,24,17.81,1498.84,2023-01-13,2023-01-16,Default,1
CUST99,23,Male,Single,High School,Salaried,78749,West,784,1,2,132098,LOAN99,Home Loan,174858,84,11.54,222.04,2022-12-02,2022-12-11,Default,1
CUST100,48,Female,Divorced,Master,Self-Employed,76871,North,754,2,0,219578,LOAN100,Education Loan,201096,48,9.94,261.6,2019-05-11,2019-05-19,Default,1
CUST101,57,Male,Divorced,Master,Business,180007,North,490,1,1,183472,LOAN101,Car Loan,222199,36,10.31,123.44,2020-10-02,2020-10-12,Default,1
CUST102,40,Female,Single,Bachelor,Unemployed,117135,South,369,2,4,195623,LOAN102,Education Loan,686576,24,14.23,586.14,2018-09-02,2018-09-05,Default,1
CUST103,40,Female,Single,PhD,Business,181356,East,660,0,4,482035,LOAN103,Home Loan,704467,36,10.63,388.44,2022-11-11,2022-11-15,Default,1
CUST104,58,Male,Single,Bachelor,Self-Employed,133316,North,799,0,4,54614,LOAN104,Car Loan,1331622,60,9.78,998.85,2018-07-31,2018-08-12,Default,1
CUST105,26,Female,Single,Master,Salaried,154686,West,751,4,2,425464,LOAN105,Personal Loan,662465,84,16.45,428.26,2022-01-17,2022-01-19,Default,1
CUST106,31,Female,Married,High School,Self-Employed,199327,West,798,4,0,57193,LOAN106,Personal Loan,534389,60,12.02,268.1,2020-10-25,2020-10-26,Default,1
CUST107,62,Female,Single,High School,Self-Employed,39933,East,764,3,0,434685,LOAN107,Car Loan,564830,48,14.52,1414.44,2021-11-14,2021-11-22,Default,1
CUST108,59,Female,Single,Master,Business,38348,Central,517,2,0,31086,LOAN108,Car Loan,1347864,84,12.96,3514.82,2019-01-20,2019-01-24,Default,1
CUST109,64,Female,Divorced,PhD,Salaried,139509,North,358,5,1,417057,LOAN109,Car Loan,1368547,36,10.4,980.97,2021-01-11,2021-01-17,Default,1
CUST110,28,Male,Divorced,PhD,Self-Employed,140891,East,631,1,1,337963,LOAN110,Home Loan,700105,12,9.56,496.91,2020-01-18,2020-01-22,Default,1
CUST111,48,Female,Divorced,High School,Self-Employed,178311,North,605,0,3,363382,LOAN111,Personal Loan,894959,24,8.0,501.91,2023-03-24,2023-04-04,Default,1
CUST112,54,Female,Married,High School,Business,185590,East,497,2,2,81482,LOAN112,Business Loan,1076439,60,7.03,580.01,2022-07-09,2022-07-20,Default,1
CUST113,49,Female,Married,PhD,Salaried,96787,North,400,2,0,386349,LOAN113,Personal Loan,625831,120,7.92,646.61,2022-10-30,2022-11-07,Default,1
CUST114,65,Female,Divorced,High School,Unemployed,103886,South,886,2,4,192419,LOAN114,Personal Loan,78056,36,17.74,75.14,2021-08-29,2021-09-06,Default,1
CUST115,38,Male,Married,High School,Business,116646,North,626,0,1,483139,LOAN115,Education Loan,1307977,120,17.19,1121.32,2021-08-15,2021-08-21,Default,1
CUST116,27,Female,Married,Bachelor,Self-Employed,47488,South,785,3,2,156024,LOAN116,Education Loan,957769,36,12.1,2016.87,2020-12-24,2020-12-27,Default,1
CUST117,30,Female,Married,PhD,Business,62334,West,484,1,0,176611,LOAN117,Car Loan,310147,24,15.43,497.56,2020-04-04,2020-04-18,Default,1
CUST118,36,Male,Married,High School,Business,78853,North,611,0,1,303602,LOAN118,Car Loan,88359,36,12.23,112.06,2022-09-19,2022-09-23,Default,1
CUST119,26,Male,Married,Master,Unemployed,113024,North,858,4,1,448384,LOAN119,Education Loan,72243,48,6.32,63.92,2019-11-05,2019-11-17,Default,1
CUST120,26,Male,Married,Bachelor,Unemployed,80863,South,474,2,1,375210,LOAN120,Business Loan,1011993,12,17.0,1251.49,2022-02-06,2022-02-18,Default,1
CUST121,60,Female,Single,PhD,Salaried,148703,North,785,1,2,54269,LOAN121,Home Loan,774647,36,11.17,520.94,2023-01-23,2023-01-25,Default,1
CUST122,46,Male,Single,Master,Self-Employed,49423,North,597,5,4,166224,LOAN122,Home Loan,264338,84,11.21,534.85,2021-11-21,2021-12-04,Default,1
CUST123,34,Female,Divorced,PhD,Unemployed,143846,West,530,5,4,214564,LOAN123,Education Loan,423706,48,10.97,294.56,2023-06-24,2023-07-08,Default,1
CUST124,34,Female,Single,Bachelor,Unemployed,36932,South,341,4,0,139752,LOAN124,Personal Loan,309585,84,6.37,838.26,2020-12-06,2020-12-16,Default,1
CUST125,42,Female,Divorced,PhD,Salaried,122267,East,551,1,1,392313,LOAN125,Personal Loan,1085395,60,16.88,887.73,2021-01-23,2021-02-01,Default,1
CUST126,45,Female,Divorced,PhD,Self-Employed,73645,North,640,0,0,334108,LOAN126,Education Loan,833094,48,11.33,1131.23,2018-11-16,2018-11-27,Default,1
CUST127,31,Male,Single,Master,Business,157912,North,829,1,0,86247,LOAN127,Car Loan,244220,24,9.6,154.66,2022-10-04,2022-10-13,Default,1
CUST128,41,Male,Divorced,Bachelor,Salaried,73196,Central,714,2,1,135446,LOAN128,Business Loan,511275,120,6.5,698.5,2022-01-22,2022-01-24,Default,1
CUST129,28,Female,Divorced,PhD,Business,139933,West,393,3,0,190163,LOAN129,Business Loan,361898,12,10.34,258.62,2019-09-24,2019-10-04,Default,1
CUST130,43,Female,Married,PhD,Self-Employed,135704,South,628,2,3,364090,LOAN130,Business Loan,1476814,24,9.1,1088.26,2021-09-27,2021-09-28,Default,1
CUST131,38,Female,Single,High School,Unemployed,75116,East,339,2,1,376118,LOAN131,Education Loan,873308,36,8.57,1162.61,2019-04-26,2019-05-08,Default,1
CUST132,39,Male,Single,PhD,Salaried,149693,East,816,1,4,445106,LOAN132,Education Loan,435768,120,6.95,291.11,2018-05-09,2018-05-23,Default,1
CUST133,42,Female,Single,High School,Business,103678,East,733,0,3,414786,LOAN133,Home Loan,178491,84,5.03,172.16,2023-06-15,2023-06-19,Default,1
CUST134,47,Female,Divorced,Bachelor,Unemployed,80816,North,319,1,0,150659,LOAN134,Education Loan,1292855,120,16.72,1599.75,2021-11-10,2021-11-13,Default,1
CUST135,25,Female,Married,PhD,Self-Employed,166334,South,408,4,0,364347,LOAN135,Car Loan,767022,24,7.59,461.13,2019-09-08,2019-09-18,Default,1
CUST136,55,Male,Single,Master,Unemployed,163501,North,318,0,2,10297,LOAN136,Home Loan,1326694,12,10.67,811.43,2018-09-13,2018-09-24,Default,1
CUST137,47,Female,Married,High School,Unemployed,58025,Central,827,3,0,175658,LOAN137,Business Loan,608089,36,6.25,1047.98,2020-01-24,2020-01-30,Default,1
CUST138,57,Female,Married,PhD,Unemployed,173558,East,813,0,4,451427,LOAN138,Education Loan,950070,120,15.15,547.41,2020-12-17,2020-12-29,Default,1
CUST139,25,Female,Single,PhD,Salaried,143490,West,653,1,1,28392,LOAN139,Business Loan,241558,48,16.74,168.34,2019-09-15,2019-09-18,Default,1
CUST140,35,Male,Divorced,Master,Self-Employed,56569,North,742,3,1,25939,LOAN140,Personal Loan,1209216,12,9.51,2137.59,2023-03-24,2023-04-08,Default,1
CUST141,29,Male,Married,High School,Business,189383,Central,437,5,4,401784,LOAN141,Education Loan,1171339,36,10.29,618.5,2020-09-13,2020-09-14,Default,1
CUST142,39,Male,Single,Bachelor,Salaried,24853,East,469,5,3,492243,LOAN142,Home Loan,707179,36,17.3,2845.45,2022-07-20,2022-07-30,Default,1
CUST143,54,Female,Married,Bachelor,Salaried,30785,Central,318,2,0,419061,LOAN143,Education Loan,826117,48,12.91,2683.5,2019-04-04,2019-04-15,Default,1
CUST144,54,Female,Divorced,PhD,Salaried,118517,Central,534,1,2,147775,LOAN144,Car Loan,1395683,120,10.93,1177.62,2019-09-23,2019-09-26,Default,1
CUST145,28,Male,Divorced,Bachelor,Unemployed,112803,West,387,4,4,329089,LOAN145,Car Loan,986938,48,9.88,874.92,2019-12-01,2019-12-15,Default,1
CUST146,35,Male,Single,PhD,Self-Employed,27065,North,899,5,0,443351,LOAN146,Education Loan,329438,24,5.96,1217.21,2020-09-17,2020-09-23,Default,1
CUST147,21,Male,Divorced,Bachelor,Salaried,112999,East,336,3,1,86465,LOAN147,Car Loan,1362436,120,9.74,1205.71,2018-09-01,2018-09-14,Default,1
CUST148,59,Female,Married,PhD,Business,148605,South,591,2,2,392246,LOAN148,Home Loan,463279,84,10.24,311.75,2018-08-02,2018-08-09,Default,1
CUST149,59,Male,Divorced,Master,Self-Employed,141050,Central,602,2,1,383087,LOAN149,Car Loan,356381,120,17.9,252.66,2021-12-27,2022-01-09,Default,1
CUST150,55,Male,Divorced,Bachelor,Salaried,49459,West,749,3,1,352755,LOAN150,Car Loan,711647,120,17.34,1438.86,2019-08-19,2019-08-27,Default,1
CUST151,44,Male,Single,High School,Salaried,111170,North,784,3,2,239417,LOAN151,Home Loan,322182,24,17.92,289.81,2020-10-02,2020-10-14,Default,1
CUST152,28,Female,Divorced,High School,Unemployed,179268,North,711,0,4,334427,LOAN152,Education Loan,996674,84,15.45,555.97,2019-05-20,2019-05-24,Default,1
CUST153,38,Female,Married,Master,Business,98401,Central,433,4,4,209268,LOAN153,Car Loan,877872,120,8.8,892.14,2018-03-05,2018-03-13,Default,1
CUST154,30,Male,Single,Bachelor,Business,77870,West,822,4,1,496697,LOAN154,Personal Loan,704681,84,17.04,904.95,2020-07-12,2020-07-21,Default,1
CUST155,30,Female,Married,Bachelor,Business,30824,Central,455,5,0,122050,LOAN155,Education Loan,921058,120,16.31,2988.12,2018-12-14,2018-12-23,Default,1
CUST156,62,Male,Single,High School,Salaried,166567,South,376,3,3,113850,LOAN156,Business Loan,231005,60,13.81,138.69,2022-08-10,2022-08-20,Default,1
CUST157,42,Female,Single,High School,Business,105039,Central,452,5,4,22734,LOAN157,Home Loan,1390633,48,10.91,1323.92,2020-05-05,2020-05-07,Default,1
CUST158,38,Male,Divorced,High School,Self-Employed,27353,West,682,5,4,2141,LOAN158,Car Loan,863395,84,17.73,3156.49,2022-07-28,2022-08-06,Default,1
CUST159,65,Male,Single,Bachelor,Business,29507,Central,542,3,2,64329,LOAN159,Car Loan,544555,84,16.34,1845.51,2023-02-13,2023-02-18,Default,1
CUST160,57,Male,Married,Master,Self-Employed,101460,South,351,5,3,238307,LOAN160,Car Loan,897402,24,8.9,884.49,2019-08-11,2019-08-15,Default,1
CUST161,25,Male,Single,PhD,Salaried,152234,South,766,2,0,357853,LOAN161,Car Loan,1421324,48,5.03,933.64,2019-07-02,2019-07-16,Default,1
CUST162,37,Female,Single,Master,Unemployed,129860,West,543,2,2,175746,LOAN162,Education Loan,1109583,120,10.8,854.45,2018-05-24,2018-06-05,Default,1
CUST163,35,Male,Divorced,Bachelor,Unemployed,111058,North,688,4,0,31370,LOAN163,Personal Loan,1290286,36,8.41,1161.81,2023-02-25,2023-03-08,Default,1
CUST164,25,Male,Married,Master,Self-Employed,62849,East,758,3,1,17964,LOAN164,Home Loan,488863,12,11.16,777.84,2021-10-31,2021-11-07,Default,1
CUST165,64,Female,Divorced,High School,Unemployed,35558,North,600,2,1,102745,LOAN165,Home Loan,619651,36,15.04,1742.65,2022-02-20,2022-03-07,Default,1
CUST166,35,Female,Single,PhD,Unemployed,37169,North,485,0,3,403476,LOAN166,Business Loan,668241,60,5.7,1797.84,2022-12-04,2022-12-15,Default,1
